Gene	Type
RBG1	Prey
RXT2	Prey
TKL2	Prey
PYC2	Prey
SPB1	Prey
TAF2	Prey
ABP1	Prey
CDC9	Prey
DAS2	Prey
LRS4	Prey
PRS2	Prey
NBP35	Prey
MCM6	Prey
GTR2	Prey
ADE3	Prey
PUP2	Prey
OPI1	Prey
CIA2	Prey
YJL055W	Prey
MTC1	Prey
HAL5	Prey
MAE1	Prey
TTI1	Prey
AAT1	Prey
SRY1	Prey
SPA2	Prey
RIX7	Prey
RAD5	Prey
RGR1	Prey
CDC45	Prey
LCL2	Prey
MDN1	Prey
DPH5	Prey
TUB4	Prey
GPN3	Prey
YEF3	Prey
HRI1	Prey
ACO1	Prey
CDC3	Prey
AFG2	Prey
URA4	Prey
SUB1	Prey
YMR178W	Prey
RTP1	Prey
UBP15	Prey
HEF3	Prey
IDH1	Prey
AAH1	Prey
GSP2	Prey
IES4	Prey
WTM1	Prey
ARL3	Prey
MEX67	Prey
MCM4	Prey
PRE2	Prey
ANT1	Prey
RAF1	Prey
REP2	Prey
TFC3	Prey
SSA1	Prey
DEP1	Prey
FUN30	Prey
FUN12	Prey
ECM1	Prey
HTB2	Prey
LDB7	Prey
HIR1	Prey
PIM1	Prey
MCM2	Prey
URA7	Prey
SAS3	Prey
PRX1	Prey
RPL32	Prey
RTG3	Prey
IPP1	Prey
OLA1	Prey
RPL4A	Prey
REB1	Prey
ORC2	Prey
ALG14	Prey
SPT7	Prey
UBC4	Prey
RPL19A	Prey
MIS1	Prey
RFC5	Prey
CMD1	Prey
GRS1	Prey
TFC1	Prey
PTC4	Prey
YBR137W	Prey
MAK5	Prey
MRPS9	Prey
RPB5	Prey
CDC28	Prey
EXO5	Prey
MBA1	Prey
RPS9B	Prey
RPL21A	Prey
MSI1	Prey
TAF5	Prey
MCM7	Prey
LDH1	Prey
HPC2	Prey
ISW1	Prey
ARO4	Prey
APE3	Prey
SNF5	Prey
ILV6	Prey
SGF29	Prey
GBP2	Prey
NFS1	Prey
GRX1	Prey
SRO9	Prey
GLK1	Prey
APA1	Prey
KRR1	Prey
CHA1	Prey
CDC10	Prey
YCR016W	Prey
HTL1	Prey
RIM1	Prey
SYP1	Prey
RSC6	Prey
