PreyGeneName	compartment
ADE3	nuc/cyto
ADR1	nuc/cyto
APA1	nuc/cyto
ARO9	nuc/cyto
AZF1	nuc/cyto
CDC14	nuc/cyto
CDC9	nuc/cyto
CHD1	nuc/cyto
CIA2	nuc/cyto
CMR1	nuc/cyto
CST6	nuc/cyto
DBP2	nuc/cyto
GBP2	nuc/cyto
GCD10	nuc/cyto
GCD14	nuc/cyto
GDH1	nuc/cyto
GRX1	nuc/cyto
GSP1	nuc/cyto
GTR2	nuc/cyto
HIR2	nuc/cyto
HMO1	nuc/cyto
HOS3	nuc/cyto
HPM1	nuc/cyto
HRP1	nuc/cyto
IES1	nuc/cyto
IRC20	nuc/cyto
KAP120	nuc/cyto
KAP95	nuc/cyto
LSM6	nuc/cyto
MCM4	nuc/cyto
MCM5	nuc/cyto
MCM6	nuc/cyto
MDN1	nuc/cyto
MOT1	nuc/cyto
MSH3	nuc/cyto
MSN1	nuc/cyto
NIP7	nuc/cyto
NPA3	nuc/cyto
OYE2	nuc/cyto
PDR1	nuc/cyto
PRE2	nuc/cyto
PRE6	nuc/cyto
PRP43	nuc/cyto
PSE1	nuc/cyto
PTC3	nuc/cyto
PUF6	nuc/cyto
PUP2	nuc/cyto
PWP1	nuc/cyto
RFC3	nuc/cyto
RFC4	nuc/cyto
RNA1	nuc/cyto
RPB4	nuc/cyto
RPC10	nuc/cyto
RPC34	nuc/cyto
RPO21	nuc/cyto
RTG3	nuc/cyto
SAN1	nuc/cyto
SIS1	nuc/cyto
SKN7	nuc/cyto
SKO1	nuc/cyto
SPT5	nuc/cyto
SPT7	nuc/cyto
SRL2	nuc/cyto
SRP1	nuc/cyto
SRP68	nuc/cyto
SSA1	nuc/cyto
SVF1	nuc/cyto
SWC5	nuc/cyto
SWI3	nuc/cyto
SWR1	nuc/cyto
TDH3	nuc/cyto
TFC3	nuc/cyto
TKL2	nuc/cyto
TOP2	nuc/cyto
TTI1	nuc/cyto
TUB1	nuc/cyto
TUB2	nuc/cyto
TUB3	nuc/cyto
VPS72	nuc/cyto
YAP1	nuc/cyto
YAR1	nuc/cyto
YNL134C	nuc/cyto
YRB1	nuc/cyto
YRB30	nuc/cyto
YTA7	nuc/cyto
ZUO1	nuc/cyto
