PreyGeneName	compartment
ADE3	cytoplasm
ADR1	TF
APA1	nuc/cyto
ARO9	nuc/cyto
AZF1	TF
CDC14	nucleus
CDC9	nucleus
CHD1	nucleus
CIA2	nuc/cyto
CMR1	nucleus
CST6	TF
DBP2	nucleus
GBP2	nuc/cyto
GCD10	nuc/cyto
GCD14	nuc/cyto
GDH1	nuc/cyto
GRX1	nuc/cyto
GSP1	nuc/cyto
GTR2	nuc/cyto
HIR2	nucleus
HMO1	nucleus
HOS3	nucleus
HPM1	nuc/cyto
HRP1	nuc/cyto
IES1	nucleus
IRC20	nucleus
KAP120	nuc/cyto
KAP95	nuc/cyto
LSM6	nuc/cyto
MCM4	nucleus
MCM5	nucleus
MCM6	nucleus
MDN1	nuc/cyto
MOT1	nucleus
MSH3	nucleus
MSN1	nucleus
NIP7	nuc/cyto
NPA3	nuc/cyto
OYE2	nuc/cyto
PDR1	TF
PRE2	nuc/cyto
PRE6	nuc/cyto
PRP43	nucleus
PSE1	nuc/cyto
PTC3	nuc/cyto
PUF6	nuc/cyto
PUP2	nuc/cyto
PWP1	nuc/cyto
RFC3	nucleus
RFC4	nucleus
RNA1	cytoplasm
RPB4	nuc/cyto
RPC10	nucleus
RPC34	nucleus
RPO21	nucleus
RTG3	nuc/cyto
SAN1	nuc/cyto
SIS1	nuc/cyto
SKN7	TF
SKO1	TF
SPT5	nucleus
SPT7	nucleus
SRL2	nuc/cyto
SRP1	nuc/cyto
SRP68	cytoplasm
SSA1	nuc/cyto
SVF1	nuc/cyto
SWC5	nucleus
SWI3	nucleus
SWR1	nucleus
TDH3	nuc/cyto
TFC3	nucleus
TKL2	nuc/cyto
TOP2	nucleus
TTI1	nucleus
TUB1	nuc/cyto
TUB2	nuc/cyto
TUB3	nuc/cyto
VPS72	nucleus
YAP1	TF
YAR1	nuc/cyto
YNL134C	nuc/cyto
YRB1	nuc/cyto
YRB30	cytoplasm
YTA7	nucleus
ZUO1	nuc/cyto
